Date,Volume,SP_close,DJ_close,EG_close,USDI_Price,EU_Price,SF_Price,PLT_Price,PLD_Price,USO_Close,GDX_Close,RHO_PRICE,Close
2017-04-07,12351100,235.199997,20656.09961,17.35,101.117,1.059,41379,956.8,804.05,10.96,23.5,1025,119.459999
2017-04-10,4623700,235.339996,20658.01953,17.4,100.952,1.0596,41366,945.8,790.35,11.14,23.65,1025,119.459999
2017-04-11,12455300,235.059998,20651.30078,17.799999,100.622,1.0602,42187,971.7,803.45,11.17,24.360001,1025,121.190002
2017-04-12,9502500,234.029999,20591.85938,17.75,100.711,1.0666,42202,976.05,796.65,11.11,24.57,1025,122.019997
2017-04-13,9892600,232.509995,20453.25,18.450001,100.463,1.0614,42571,976.1,796.25,11.13,24.540001,1025,122.599998
2017-04-17,8469600,234.570007,20636.91992,18.450001,100.194,1.0643,42497,983.7,788.9,11.06,24.469999,1025,122.239998
2017-04-18,10903700,233.869995,20523.2793,18.6,99.404,1.0734,42187,979.95,771.2,11.04,24.27,1025,122.82
2017-04-19,8472700,233.440002,20404.49023,18.1,99.638,1.0711,41898,970.2,775.4,10.62,23.389999,1025,121.730003
2017-04-20,11787300,235.339996,20578.71094,18,99.685,1.0717,41505,979.7,802.8,10.54,23.58,1025,121.959999
2017-04-21,15608000,234.589996,20547.75977,18,99.88,1.0728,41289,974.65,790.65,10.32,23.610001,1025,122.309998
2017-04-24,11053600,237.169998,20763.89063,17.799999,98.973,1.0868,41129,966.45,795.35,10.25,23.200001,1025,121.480003
2017-04-25,10344800,238.550003,20996.11914,17,98.648,1.0926,40416,956.95,796.5,10.36,22.219999,1025,120.25
2017-04-26,9758800,238.399994,20975.08984,17.5,98.92,1.0903,39858,951.85,804.95,10.26,22.26,1015,120.839996
2017-04-27,8267000,238.600006,20981.33008,16.9,98.955,1.0873,39670,948.15,812.85,10.24,21.809999,1015,120.389999
2017-04-28,8928200,238.080002,20940.50977,18.299999,98.898,1.0897,39503,948.15,826.45,10.24,22.23,0,120.769997
2017-05-01,9331800,238.679993,20913.46094,17.1,98.93,1.0899,38685,934.8,814.35,10.15,21.690001,1015,119.669998
2017-05-02,4900800,238.770004,20949.89063,17.299999,98.829,1.093,38689,928.5,813.45,9.92,21.74,1005,119.650002
2017-05-03,10811100,238.479996,20957.90039,17.4,99.082,1.0885,38292,898.95,799.05,9.93,21.51,995,117.980003
2017-05-04,12406900,238.759995,20951.4707,16.6,98.647,1.0984,37706,904.85,800.35,9.46,21.1,985,116.790001
2017-05-05,7127200,239.699997,21006.93945,17.1,98.528,1.0998,37757,914.4,812.55,9.66,21.549999,980,117.010002
2017-05-08,5438400,239.660004,21012.2793,17.75,98.936,1.0924,38011,919.45,804.9,9.67,21.540001,980,116.75
2017-05-09,6801300,239.440002,20975.7793,17.75,99.544,1.0874,37789,907.1,792.85,9.57,21.52,970,116.050003
2017-05-10,4290500,239.869995,20943.10938,18,99.559,1.0868,37952,910.45,798.55,9.86,21.93,950,116.040001
2017-05-11,6274400,239.380005,20919.41992,18.35,99.505,1.0861,37992,919.1,797.95,9.94,22.370001,950,116.5
2017-05-12,5434500,238.979996,20896.60938,18.299999,99.131,1.0931,38155,922,802.5,9.95,22.719999,950,116.830002
2017-05-15,5019600,240.300003,20981.93945,17,98.801,1.0975,38502,931.95,796.05,10.17,22.799999,950,117.139999
2017-05-16,4942800,240.080002,20979.75,16.9,97.998,1.1082,38744,944,791.55,10.11,22.959999,950,117.650002
2017-05-17,13936900,235.820007,20606.92969,16.65,97.462,1.1159,39199,947.8,776.25,10.19,23.370001,950,119.790001
2017-05-18,10341100,236.770004,20663.01953,16.85,97.772,1.1103,38889,933.95,764.45,10.26,22.65,950,118.809998
2017-05-19,6787300,238.309998,20804.83984,17.299999,97.03,1.1207,39111,940.4,759.8,10.48,22.860001,940,119.400002
2017-05-22,5132500,239.520004,20894.83008,18.049999,96.881,1.1238,39874,949.9,758.2,10.54,23.16,940,119.900002
2017-05-23,8305400,240.050003,20937.91016,17,97.264,1.1183,39958,944.4,771.8,10.64,22.639999,940,119.139999
2017-05-24,7025000,240.610001,21012.41992,17.200001,97.147,1.1219,39832,950.4,761.2,10.6,22.969999,930,119.610001
2017-05-25,4105100,241.759995,21082.94922,17.15,97.176,1.1211,39802,949.55,768.5,10.04,22.709999,930,119.480003
2017-05-26,6791600,241.710007,21080.2793,16.75,97.364,1.1183,40091,961.95,786.7,10.28,22.940001,930,120.540001
2017-05-30,4507500,241.5,21029.4707,15.95,97.212,1.1185,40282,941.35,802.65,10.24,22.59,930,120.139999
2017-05-31,10360700,241.440002,21008.65039,15.25,96.854,1.1243,40096,949.95,815.95,9.96,22.690001,0,120.620003
2017-06-01,8702500,243.360001,21144.17969,15.3,97.141,1.1213,39813,932.15,823.1,9.91,22.6,930,120.720001
2017-06-02,7268100,244.169998,21206.28906,15.15,96.67,1.1282,40274,955.35,834.05,9.86,22.76,930,121.610001
2017-06-05,3979200,243.990005,21184.03906,15.1,96.754,1.1255,40453,954.8,841.85,9.8,22.74,950,121.730003
2017-06-06,10798500,243.210007,21136.23047,16.15,96.591,1.1278,40777,962.4,848.4,9.97,23.799999,950,123.099998
2017-06-07,9039200,243.660004,21173.68945,15.8,96.708,1.1257,40552,945.8,828.2,9.46,23.65,960,122.449997
2017-06-08,8157700,243.779999,21182.5293,14.3,96.898,1.1214,40050,940.4,846.5,9.43,23.219999,960,121.650002
2017-06-09,7054700,243.410004,21271.9707,14.5,97.239,1.1196,39694,940.4,856.2,9.49,22.83,960,120.540001
2017-06-12,4927400,243.360001,21235.66992,13.6,97.121,1.1203,39165,944.35,864.25,9.52,22.74,960,120.360001
2017-06-13,3786600,244.550003,21328.4707,14.05,96.942,1.1216,38771,928.25,857.55,9.6,22.969999,970,120.480003
2017-06-14,21124800,244.240005,21374.56055,13.45,96.921,1.1218,39418,938.1,853.8,9.23,22.219999,970,119.82
2017-06-15,6796700,243.770004,21359.90039,13.35,97.437,1.1145,38721,922.6,857.95,9.18,22.1,970,119.32
2017-06-16,6435700,242.639999,21384.2793,13.75,97.146,1.1198,38481,929.85,865.65,9.24,22.059999,970,119.339996
2017-06-19,6787000,244.660004,21528.99023,13.95,97.325,1.1148,38169,924.85,855.6,9.12,21.93,980,118.43
2017-06-20,4617400,243.009995,21467.14063,13.75,97.412,1.1135,38065,924.2,867.15,8.95,21.799999,990,118.18
2017-06-21,4723700,242.949997,21410.0293,13.85,97.216,1.1168,37977,928.95,876.45,8.71,22.110001,1000,118.519997
2017-06-22,5811900,242.839996,21397.28906,14.05,97.303,1.1153,38220,926.8,880.5,8.78,22.360001,1000,118.919998
2017-06-23,9258600,243.130005,21394.75977,14.55,96.942,1.1194,38488,929.75,856.65,8.86,22.74,1015,119.43
2017-06-26,6593400,243.289993,21409.55078,14.45,97.116,1.1182,38304,919.25,863.95,8.93,22.559999,1015,118.360001
2017-06-27,5759300,241.330002,21310.66016,14.1,96.093,1.1339,38355,921.2,858.35,9.1,22.26,1015,118.809998
2017-06-28,4220100,243.490005,21454.60938,13.35,95.744,1.1378,38704,922.55,854.6,9.2,22.43,1030,118.900002
2017-06-29,7705200,241.350006,21287.0293,12.9,95.366,1.1441,38599,923.8,846.1,9.21,21.950001,1030,118.32
2017-06-30,7272600,241.800003,21349.63086,13.2,95.421,1.1426,38344,927.7,836.65,9.5,22.08,0,118.019997
2017-07-03,12145000,242.210007,21479.26953,12.85,95.969,1.1364,37250,907.35,842.4,9.62,21.48,1040,116.089996
2017-07-05,7223300,242.770004,21478.16992,12.85,96.059,1.1353,37124,911.2,834.4,9.25,21.76,1040,116.519997
2017-07-06,4443400,240.550003,21320.03906,12.8,95.575,1.1423,37452,910.05,832.2,9.31,21.49,1040,116.470001
2017-07-07,11153600,242.110001,21414.33984,12.1,95.792,1.1401,36231,909,831.25,9.1,21.209999,1040,115.279999
2017-07-10,4970900,242.369995,21408.51953,12.15,95.777,1.14,36544,902.55,837.35,9.13,21.51,1040,115.470001
2017-07-11,6637900,242.190002,21409.07031,12.15,95.422,1.1467,36771,904.6,846.85,9.27,21.639999,1030,115.620003
2017-07-12,4654400,244.009995,21532.14063,12.15,95.512,1.1412,36968,917.85,861.55,9.33,21.74,1030,116.029999
2017-07-13,4148900,244.419998,21553.08984,12.05,95.508,1.1399,36590,906.95,854.75,9.47,21.5,1030,115.82
2017-07-14,5788200,245.559998,21637.74023,12.05,94.93,1.1469,36970,923.45,856.75,9.59,21.799999,1030,116.769997
2017-07-17,5170800,245.529999,21629.7207,12.25,94.904,1.1479,37410,925.15,865.55,9.45,21.98,1030,117.290001
2017-07-18,7158600,245.660004,21574.73047,12.4,94.402,1.1555,37695,930.05,864.4,9.54,22.139999,1030,118.110001
2017-07-19,3205100,246.990005,21640.75,12.45,94.588,1.1516,37757,923.65,859.15,9.69,22.18,1030,118.080002
2017-07-20,5571600,247.100006,21611.7793,12.7,94.117,1.1631,37881,928.85,847.6,9.61,22.32,1030,118.239998
2017-07-21,10135900,246.880005,21580.07031,12.5,93.679,1.1663,38150,937.8,844.35,9.34,22.41,1020,119.260002
2017-07-24,3654300,246.820007,21513.16992,12.2,93.798,1.1642,38086,931.8,849.05,9.5,22.049999,1020,119.309998
2017-07-25,6203000,247.419998,21613.42969,12.1,93.888,1.1652,38289,926.4,856.95,9.81,22.27,1010,118.919998
2017-07-26,8527900,247.429993,21711.00977,12.35,93.505,1.1734,38091,931.45,862.9,9.96,22.84,1000,119.879997
2017-07-27,6385200,247.199997,21796.55078,12,93.715,1.1677,38263,928.8,876.9,10.06,22.57,990,119.790001
2017-07-28,7393600,246.910004,21830.31055,11.3,93.114,1.1752,38460,937.85,880.15,10.17,22.91,990,120.690002
2017-07-31,3944600,246.770004,21891.11914,10.6,92.718,1.1842,38645,941.65,885.4,10.28,22.860001,0,120.75
2017-08-01,7365100,247.320007,21963.91992,10.4,92.901,1.1802,38512,946.95,893.4,10.09,22.83,990,120.650002
2017-08-02,5945300,247.440002,22016.24023,9.95,92.699,1.1856,38116,949.4,892.2,10.14,22.77,990,120.400002
2017-08-03,4275600,246.960007,22026.09961,9.25,92.707,1.187,38027,965.95,881,10.02,22.700001,990,120.589996
2017-08-04,8644800,247.410004,22092.81055,9.15,93.416,1.1772,37262,967.85,874.8,10.13,22.32,1000,119.650002
2017-08-07,3010100,247.869995,22118.41992,9.65,93.309,1.1796,37271,970.15,885.2,10.1,22.200001,1010,119.510002
2017-08-08,7227200,247.259995,22085.33984,9.5,93.515,1.175,37499,975.9,898.4,10.06,22.25,1020,119.860001
2017-08-09,9186200,247.25,22048.69922,9.6,93.43,1.1759,38590,978.25,891.85,10.15,22.6,1020,121.309998
2017-08-10,9817900,243.759995,21844.00977,9.65,93.304,1.1772,39213,986.3,897.05,9.91,23.08,1030,122.209999
2017-08-11,8019500,244.119995,21858.32031,10,92.956,1.1821,39194,987.8,894.7,9.99,23.15,1030,122.790001
2017-08-14,5910200,246.539993,21993.71094,9.55,93.305,1.178,39178,969.05,898.15,9.72,22.83,1040,121.919998
2017-08-16,8267300,246.940002,22024.86914,9.45,93.438,1.177,38863,982.55,910.2,9.57,23.08,1040,121.870003
2017-08-17,8183800,243.089996,21750.73047,9.35,93.534,1.1724,39098,980,926.15,9.62,23.030001,1050,122.489998
2017-08-18,13654200,242.710007,21674.50977,9.5,93.359,1.1762,39063,981.75,927.1,9.97,22.93,1060,122.300003
2017-08-21,5549700,242.899994,21703.75,9.55,93.012,1.1816,39088,985.7,939,9.71,23.309999,1070,122.760002
2017-08-22,6493900,245.440002,21899.89063,9.45,93.461,1.1762,38939,978.15,932.35,9.77,23.09,1070,122.209999
2017-08-23,5038400,244.559998,21812.08984,9.55,93.07,1.1807,39074,982.55,933,9.88,23.26,1080,122.669998
2017-08-24,4193400,243.990005,21783.40039,9.65,93.202,1.1799,38860,982.5,936.15,9.71,23.35,1090,122.290001
2017-08-25,12398200,244.559998,21813.66992,9.8,92.677,1.1926,39012,977.3,931.05,9.75,23.41,1100,122.739998
2017-08-28,11578300,244.570007,21808.40039,10.35,92.14,1.1979,39727,993.2,934.2,9.53,24.26,1100,124.690002
2017-08-29,9861500,244.850006,21865.36914,10.15,92.184,1.1972,39818,997.2,945.05,9.46,24.42,1115,124.419998
2017-08-30,6328400,246.009995,21892.42969,9.95,92.823,1.1883,39721,993.75,931.35,9.38,24.16,1125,124.360001
2017-08-31,11775500,247.490005,21948.09961,10.3,92.628,1.191,39798,1001.25,931.95,9.63,24.719999,0,125.82
2017-09-01,11567400,247.839996,21987.56055,10.4,92.769,1.1859,40021,1011.25,981.15,9.67,24.780001,1155,126.059998
2017-09-05,11813100,246.059998,21753.31055,10.5,92.226,1.1914,40609,1012.9,963.05,9.92,25.309999,1155,127.459999
2017-09-06,10059300,246.899994,21807.64063,10.3,92.252,1.1917,41323,1005.6,938.15,10.04,24.92,1155,126.809998
